Video_Id	CC_Status	Note	Category	Label	Metadata	youtube_caption	Ground_Truth	Chatgpt_caption	Llama2_caption	wer_gpt	bleu_gpt	rouge1_gpt	rouge2_gpt	rougeL_gpt	rougeLsum_gpt	wer_llama2	bleu_llama2	rouge1_llama2	rouge2_llama2	rougeL_llama2	rougeLsum_llama2	wer_asr	bleu_asr	rouge1_asr	rouge2_asr	rougeL_asr	rougeLsum_asr
9xCwLDC4dTY	200		Cooking	1						0.0	-0.021	-0.02	-0.034	-0.02	-0.02							15.68	-0.358	-0.007	-0.014	-0.007	-0.007
VpCuw7822EU	200		Cooking	2						2.23	-0.021	0.0	-0.011	-0.005	-0.005							0.0	0.0	0.0	0.0	0.0	0.0
5_tK7VUjcGs	0	cc disabled	Cooking	3																							
FSCVgmLjjQI	200		Cooking	4						1.75	-0.032	-0.017	-0.027	-0.017	-0.017							3.94	-0.064	-0.019	-0.031	-0.019	-0.019
2PdxdditT5g	200		Cooking	5						-3.13	0.036	0.005	0.011	0.005	0.005							0.0	0.0	0.0	0.0	0.0	0.0
oHbf24lL9Z8	200		Cooking	6						-1.13	0.022	0.008	0.012	0.0	0.004							0.0	0.0	0.0	0.0	0.0	0.0
I8t7RElYxes	200		Cooking	7						-0.26	0.003	0.0	0.003	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
cct6HqU0Zu4	200		Cooking	8						0.81	-0.013	-0.008	-0.02	-0.008	-0.008							0.0	0.0	0.0	0.0	0.0	0.0
cFlSdT2loME	200		Cooking	9						0.0	0.0	0.0	0.0	0.0	0.0							-1.07	0.033	0.02	0.041	0.02	0.02
W9qh7xL84Ns	200		Cooking	10						-5.3	0.063	0.042	0.056	0.042	0.042							-1.98	0.037	0.023	0.037	0.023	0.023
BKTY3gIzmFw	200		Education	1						-8.93	0.005	0.024	0.037	0.04	0.04							0.0	0.0	0.0	0.0	0.0	0.0
BYdbStLBNk0	200		Education	2						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
gtZpmnQd2hM	200		Education	3						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
6ZIJG8F2RxA	200		Education	4						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
p2b6ZikLlVg	0	does not exist	Education	5																							
iQxFiFIEGcY	200	corrected Video_Id	Education	6						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
