Video_Id	CC_Status	Note	Category	Label	Metadata	youtube_caption	Ground_Truth	Chatgpt_caption	Llama2_caption	wer_gpt	bleu_gpt	rouge1_gpt	rouge2_gpt	rougeL_gpt	rougeLsum_gpt	wer_llama2	bleu_llama2	rouge1_llama2	rouge2_llama2	rougeL_llama2	rougeLsum_llama2	wer_asr	bleu_asr	rouge1_asr	rouge2_asr	rougeL_asr	rougeLsum_asr
9xCwLDC4dTY	200		Cooking	1						0.65	-0.005	-0.006	-0.007	-0.006	-0.006							0.0	0.0	0.0	0.0	0.0	0.0
VpCuw7822EU	200		Cooking	2						-1.67	0.014	0.003	0.003	0.003	0.003							0.0	0.0	0.0	0.0	0.0	0.0
5_tK7VUjcGs	0	cc disabled	Cooking	3																							
FSCVgmLjjQI	200		Cooking	4						2.19	-0.033	0.004	0.004	0.004	0.004							0.0	0.0	0.0	0.0	0.0	0.0
2PdxdditT5g	200		Cooking	5						5.92	-0.068	-0.013	-0.033	-0.016	-0.016							0.0	0.0	0.0	0.0	0.0	0.0
oHbf24lL9Z8	200		Cooking	6						3.26	-0.043	-0.021	-0.027	-0.011	0.012							0.0	0.0	0.0	0.0	0.0	0.0
I8t7RElYxes	200		Cooking	7						-0.27	0.009	0.002	0.005	0.002	0.002							0.0	0.0	0.0	0.0	0.0	0.0
cct6HqU0Zu4	200		Cooking	8						-0.81	0.007	0.012	0.024	0.016	0.016							0.0	0.0	0.0	0.0	0.0	0.0
cFlSdT2loME	200		Cooking	9						-1.07	0.024	0.01	0.02	0.01	0.01							0.0	0.0	0.0	0.0	0.0	0.0
W9qh7xL84Ns	200		Cooking	10						7.95	-0.07	-0.039	-0.048	-0.039	-0.039							0.0	0.0	0.0	0.0	0.0	0.0
BKTY3gIzmFw	200		Education	1						-3.57	0.02	0.009	0.081	0.027	0.027							0.0	0.0	0.0	0.0	0.0	0.0
BYdbStLBNk0	200		Education	2						15.93	-0.147	-0.045	-0.057	-0.045	-0.106							0.0	0.0	0.0	0.0	0.0	0.0
gtZpmnQd2hM	200		Education	3						1.97	-0.026	-0.002	-0.007	-0.002	-0.002							0.0	0.0	0.0	0.0	0.0	0.0
6ZIJG8F2RxA	200		Education	4						4.22	-0.075	-0.015	-0.026	-0.015	-0.015							0.0	0.0	0.0	0.0	0.0	0.0
p2b6ZikLlVg	0	does not exist	Education	5																							
iQxFiFIEGcY	200	corrected Video_Id	Education	6						2.33	-0.03	-0.018	-0.027	-0.018	-0.018							0.0	0.0	0.0	0.0	0.0	0.0
F7U3J9AJS8M	200		Education	7						2.65	-0.038	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
5SLif03E-KE	200		Education	8						-1.36	0.019	-0.009	-0.002	-0.009	-0.009							0.0	0.0	0.0	0.0	0.0	0.0
eTFy8RnUkoU	200		Education	9						0.3	-0.006	-0.008	-0.008	-0.003	-0.003							0.0	0.0	0.0	0.0	0.0	0.0
zsjvFFKOm3c	200		Education	10						17.75	-0.212	-0.083	-0.19	-0.122	-0.127							0.0	0.0	0.0	0.0	0.0	0.0
bi46iDzFs48	0	wrong video	Entertainment	1																							
pPLzAtFiDDw	200		Entertainment	2						16.22	0.042	0.013	0.021	0.013	-0.082							0.0	0.0	0.0	0.0	0.0	0.0
1oPDwCp26bE	200		Entertainment	3						-21.37	0.246	0.115	0.265	0.169	0.169							0.0	0.0	0.0	0.0	0.0	0.0
Ld2SS2-v3Fk	0	does not exist	Entertainment	4																							
CotW36ApEto	200		Entertainment	5						-1.03	0.012	-0.005	-0.014	-0.005	-0.005							0.0	0.0	0.0	0.0	0.0	0.0
Yk5TE-7heoc	0	does not exist	Entertainment	6																							
Bypor4e04rg	200		Entertainment	7						14.33	-0.163	-0.019	-0.042	-0.026	-0.026							0.0	0.0	0.0	0.0	0.0	0.0
xy8yKkXriuA	0	does not exist	Entertainment	8																							
_oxso1pWCHY	200	corrected Video_Id	Entertainment	9						-3.28	-0.007	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
HutXJzlDuA0	0	does not exist	Entertainment	10																							
ULFUVwPDkxI	200		News	1						1.71	-0.038	-0.005	-0.007	-0.002	-0.002							0.0	0.0	0.0	0.0	0.0	0.0
L7CGonrhG_k	200		News	2						7.79	-0.14	-0.027	-0.052	-0.027	-0.027							0.0	0.0	0.0	0.0	0.0	0.0
GV_c1YlM9EA	200		News	3						0.79	-0.009	-0.003	-0.005	-0.003	-0.003							0.0	0.0	0.0	0.0	0.0	0.0
ZMMRNb2xEkU	0	cc disabled	News	4																							
PvJuocemHS4	200		News	5						-1.78	0.024	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
wGWVKkYEHBE	200		News	6						6.6	-0.159	-0.037	-0.093	-0.037	-0.045							0.0	0.0	0.0	0.0	0.0	0.0
bKMJm6rbgL4	200		News	7						0.0	-0.005	0.004	0.005	0.004	0.004							0.0	0.0	0.0	0.0	0.0	0.0
MlPD0dxDDQY	200		News	8						-2.6	0.037	0.009	0.031	0.013	0.013							0.0	0.0	0.0	0.0	0.0	0.0
JgSHli3iKxA	200		News	9						-0.84	-0.005	0.002	0.006	0.002	0.002							0.0	0.0	0.0	0.0	0.0	0.0
ewfP4aDKqLc	0	cc disabled	News	10																							
eRxj35raxOs	200		Travel	1						0.0	-0.005	0.012	0.012	0.012	0.012							0.0	0.0	0.0	0.0	0.0	0.0
YwWbuYQhlvM	200		Travel	2						6.52	-0.087	-0.019	-0.047	-0.03	-0.03							0.0	0.0	0.0	0.0	0.0	0.0
c6paDig_s24	200		Travel	3						-9.47	0.08	0.07	0.083	0.07	0.07							0.0	0.0	0.0	0.0	0.0	0.0
34LqdqM6Kg4	200		Travel	4						-1.92	0.062	0.086	0.108	0.066	0.066							0.0	0.0	0.0	0.0	0.0	0.0
gBspmhvWgwA	200		Travel	5						3.92	-0.062	-0.006	-0.012	-0.006	-0.006							0.0	0.0	0.0	0.0	0.0	0.0
HnYN7OQe854	200		Travel	6						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
qpyMZYSKSCU	200		Travel	7						1.05	-0.02	-0.006	-0.017	-0.01	-0.01							0.0	0.0	0.0	0.0	0.0	0.0
1gfm91bu6FE	200		Travel	8						-2.87	0.039	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
CEx2oOtCFSU	200		Travel	9						2.02	-0.038	-0.01	-0.02	-0.01	-0.01							0.0	0.0	0.0	0.0	0.0	0.0
hKy5Ec-HN3M	200		Travel	10						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
I6h-EmnqOps	404		Travel	11																							
aYRpJoKUBdQ	200		Travel	12						-3.14	0.023	0.026	0.032	0.026	0.026							0.0	0.0	0.0	0.0	0.0	0.0
