Video_Id	CC_Status	Note	Category	Label	Metadata	youtube_caption	Ground_Truth	Chatgpt_caption	Llama2_caption	wer_gpt	bleu_gpt	rouge1_gpt	rouge2_gpt	rougeL_gpt	rougeLsum_gpt	wer_llama2	bleu_llama2	rouge1_llama2	rouge2_llama2	rougeL_llama2	rougeLsum_llama2	wer_asr	bleu_asr	rouge1_asr	rouge2_asr	rougeL_asr	rougeLsum_asr
9xCwLDC4dTY	1		Cooking	1						0.65	-0.004	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
VpCuw7822EU	1		Cooking	2						40.78	-0.419	-0.249	-0.404	-0.315	-0.315							0.0	0.0	0.0	0.0	0.0	0.0
5_tK7VUjcGs	0	cc disabled	Cooking	3						64.63	-0.715	-0.405	-0.606	-0.526	-0.526							0.0	0.0	0.0	0.0	0.0	0.0
FSCVgmLjjQI	1		Cooking	4						99.12	-0.982	-0.974	-0.976	-0.974	-0.974							0.0	0.0	0.0	0.0	0.0	0.0
2PdxdditT5g	1		Cooking	5						19.16	-0.242	-0.033	-0.072	-0.036	-0.036							0.0	0.0	0.0	0.0	0.0	0.0
oHbf24lL9Z8	1		Cooking	6						62.69	-0.7	-0.575	-0.636	-0.614	-0.614							0.0	0.0	0.0	0.0	0.0	0.0
I8t7RElYxes	1		Cooking	7						56.64	-0.64	-0.253	-0.516	-0.404	-0.404							0.0	0.0	0.0	0.0	0.0	0.0
cct6HqU0Zu4	1		Cooking	8						19.84	-0.25	-0.058	-0.146	-0.082	-0.082							0.0	0.0	0.0	0.0	0.0	0.0
cFlSdT2loME	1		Cooking	9						15.96	-0.172	-0.076	-0.11	-0.076	-0.076							0.0	0.0	0.0	0.0	0.0	0.0
W9qh7xL84Ns	1		Cooking	10						20.53	-0.304	-0.108	-0.188	-0.121	-0.121							0.0	0.0	0.0	0.0	0.0	0.0
BKTY3gIzmFw	1		Education	1						0.0	-0.054	-0.001	-0.003	0.016	0.016							0.0	0.0	0.0	0.0	0.0	0.0
BYdbStLBNk0	1		Education	2						70.88	-0.793	-0.401	-0.63	-0.513	-0.513							0.0	0.0	0.0	0.0	0.0	0.0
gtZpmnQd2hM	1		Education	3						85.22	-0.902	-0.599	-0.824	-0.715	-0.715							0.0	0.0	0.0	0.0	0.0	0.0
6ZIJG8F2RxA	1		Education	4						24.7	-0.319	-0.078	-0.175	-0.078	-0.078							0.0	0.0	0.0	0.0	0.0	0.0
p2b6ZikLlVg	0	does not exist	Education	5						42.39	-0.444	-0.287	-0.421	-0.333	-0.333							0.0	0.0	0.0	0.0	0.0	0.0
iQxFiFIEGcY	1	corrected Video_Id	Education	6						41.86	-0.521	-0.232	-0.41	-0.277	-0.277							0.0	0.0	0.0	0.0	0.0	0.0
F7U3J9AJS8M	1		Education	7						41.6	-0.564	-0.336	-0.534	-0.365	-0.365							0.0	0.0	0.0	0.0	0.0	0.0
5SLif03E-KE	1		Education	8						46.62	-0.523	-0.24	-0.45	-0.3	-0.3							0.0	0.0	0.0	0.0	0.0	0.0
eTFy8RnUkoU	1		Education	9						86.37	-0.957	-0.609	-0.836	-0.713	-0.713							0.0	0.0	0.0	0.0	0.0	0.0
zsjvFFKOm3c	1		Education	10						28.57	-0.372	-0.136	-0.247	-0.167	-0.167							0.0	0.0	0.0	0.0	0.0	0.0
bi46iDzFs48	0	wrong video	Entertainment	1						56.56	-0.633	-0.377	-0.645	-0.478	-0.478							0.0	0.0	0.0	0.0	0.0	0.0
pPLzAtFiDDw	1		Entertainment	2						27.03	-0.308	-0.052	-0.15	-0.06	-0.142							0.0	0.0	0.0	0.0	0.0	0.0
1oPDwCp26bE	1		Entertainment	3						54.48	-0.62	-0.227	-0.484	-0.332	-0.332							0.0	0.0	0.0	0.0	0.0	0.0
Ld2SS2-v3Fk	0	does not exist	Entertainment	4						18.54	-0.208	-0.039	-0.111	-0.071	-0.071							0.0	0.0	0.0	0.0	0.0	0.0
CotW36ApEto	1		Entertainment	5						7.22	-0.103	-0.005	-0.014	-0.005	-0.005							0.0	0.0	0.0	0.0	0.0	0.0
Yk5TE-7heoc	0	does not exist	Entertainment	6						8.97	-0.128	-0.036	-0.057	-0.036	-0.036							0.0	0.0	0.0	0.0	0.0	0.0
Bypor4e04rg	1		Entertainment	7						15.92	-0.231	-0.052	-0.096	-0.055	-0.055							0.0	0.0	0.0	0.0	0.0	0.0
xy8yKkXriuA	0	does not exist	Entertainment	8						14.45	-0.195	-0.048	-0.091	-0.048	-0.048							0.0	0.0	0.0	0.0	0.0	0.0
_oxso1pWCHY	1	corrected Video_Id	Entertainment	9						3.28	-0.014	0.031	0.048	0.031	0.031							0.0	0.0	0.0	0.0	0.0	0.0
HutXJzlDuA0	0	does not exist	Entertainment	10						15.28	-0.225	-0.016	-0.04	-0.023	-0.023							0.0	0.0	0.0	0.0	0.0	0.0
ULFUVwPDkxI	1		News	1						11.49	-0.163	-0.053	-0.09	-0.055	-0.055							0.0	0.0	0.0	0.0	0.0	0.0
L7CGonrhG_k	1		News	2						11.69	-0.192	-0.048	-0.086	-0.048	-0.048							0.0	0.0	0.0	0.0	0.0	0.0
GV_c1YlM9EA	1		News	3						3.58	-0.064	-0.019	-0.037	-0.019	-0.019							0.0	0.0	0.0	0.0	0.0	0.0
ZMMRNb2xEkU	0	cc disabled	News	4						47.06	-0.575	-0.164	-0.409	-0.194	-0.194							0.0	0.0	0.0	0.0	0.0	0.0
PvJuocemHS4	1		News	5						12.03	-0.158	-0.029	-0.075	-0.038	-0.038							0.0	0.0	0.0	0.0	0.0	0.0
wGWVKkYEHBE	1		News	6						14.51	-0.26	-0.045	-0.113	-0.045	-0.105							0.0	0.0	0.0	0.0	0.0	0.0
bKMJm6rbgL4	1		News	7						12.97	-0.203	-0.044	-0.118	-0.053	-0.053							0.0	0.0	0.0	0.0	0.0	0.0
MlPD0dxDDQY	1		News	8						7.79	-0.096	-0.015	-0.075	-0.036	-0.036							0.0	0.0	0.0	0.0	0.0	0.0
JgSHli3iKxA	1		News	9						53.59	-0.707	-0.264	-0.548	-0.351	-0.351							0.0	0.0	0.0	0.0	0.0	0.0
ewfP4aDKqLc	0	cc disabled	News	10						39.68	-0.566	-0.262	-0.44	-0.279	-0.279							0.0	0.0	0.0	0.0	0.0	0.0
eRxj35raxOs	1		Travel	1						57.32	-0.642	-0.447	-0.585	-0.495	-0.495							0.0	0.0	0.0	0.0	0.0	0.0
YwWbuYQhlvM	1		Travel	2						55.98	-0.618	-0.274	-0.467	-0.357	-0.357							0.0	0.0	0.0	0.0	0.0	0.0
c6paDig_s24	1		Travel	3						8.42	-0.092	-0.08	-0.08	-0.069	-0.069							0.0	0.0	0.0	0.0	0.0	0.0
34LqdqM6Kg4	1		Travel	4						46.15	-0.505	-0.336	-0.419	-0.373	-0.373							0.0	0.0	0.0	0.0	0.0	0.0
gBspmhvWgwA	1		Travel	5						11.77	-0.16	-0.047	-0.117	-0.054	-0.054							0.0	0.0	0.0	0.0	0.0	0.0
HnYN7OQe854	1		Travel	6						10.42	-0.127	-0.051	-0.087	-0.056	-0.076							0.0	0.0	0.0	0.0	0.0	0.0
qpyMZYSKSCU	1		Travel	7						72.98	-0.745	-0.703	-0.741	-0.725	-0.725							0.0	0.0	0.0	0.0	0.0	0.0
1gfm91bu6FE	1		Travel	8						35.97	-0.425	-0.166	-0.322	-0.219	-0.219							0.0	0.0	0.0	0.0	0.0	0.0
CEx2oOtCFSU	1		Travel	9						32.32	-0.42	-0.143	-0.317	-0.2	-0.2							0.0	0.0	0.0	0.0	0.0	0.0
hKy5Ec-HN3M	1		Travel	10						4.52	-0.072	-0.006	-0.013	-0.006	-0.006							0.0	0.0	0.0	0.0	0.0	0.0
I6h-EmnqOps	1		Travel	11						47.31	-0.566	-0.235	-0.458	-0.304	-0.304							0.0	0.0	0.0	0.0	0.0	0.0
aYRpJoKUBdQ	1		Travel	12						85.34	-0.934	-0.585	-0.801	-0.697	-0.697							0.0	0.0	0.0	0.0	0.0	0.0
