Video_Id	CC_Status	Note	Category	Label	Metadata	youtube_caption	Ground_Truth	Chatgpt_caption	Llama2_caption	wer_gpt	bleu_gpt	rouge1_gpt	rouge2_gpt	rougeL_gpt	rougeLsum_gpt	wer_llama2	bleu_llama2	rouge1_llama2	rouge2_llama2	rougeL_llama2	rougeLsum_llama2	wer_asr	bleu_asr	rouge1_asr	rouge2_asr	rougeL_asr	rougeLsum_asr
9xCwLDC4dTY	200		Cooking	1						3.92	-0.056	-0.013	-0.02	-0.013	-0.013							0.0	0.0	0.0	0.0	0.0	0.0
VpCuw7822EU	200		Cooking	2						21.23	-0.342	0.0	0.011	0.005	0.005							0.0	0.0	0.0	0.0	0.0	0.0
5_tK7VUjcGs	0	cc disabled	Cooking	3																							
FSCVgmLjjQI	200		Cooking	4						0.66	-0.012	0.0	0.0	0.0	0.002							0.0	0.0	0.0	0.0	0.0	0.0
2PdxdditT5g	200		Cooking	5						6.97	-0.087	-0.016	-0.03	-0.016	-0.016							0.0	0.0	0.0	0.0	0.0	0.0
oHbf24lL9Z8	200		Cooking	6						8.29	-0.093	-0.033	-0.045	-0.026	-0.025							0.0	0.0	0.0	0.0	0.0	0.0
I8t7RElYxes	200		Cooking	7						15.95	-0.26	0.001	0.001	0.004	0.004							0.0	0.0	0.0	0.0	0.0	0.0
cct6HqU0Zu4	200		Cooking	8						-4.05	0.028	0.024	0.056	0.032	0.032							0.0	0.0	0.0	0.0	0.0	0.0
cFlSdT2loME	200		Cooking	9						2.13	-0.024	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
W9qh7xL84Ns	200		Cooking	10						1.32	-0.018	-0.004	-0.005	0.002	0.002							0.0	0.0	0.0	0.0	0.0	0.0
BKTY3gIzmFw	200		Education	1						3.57	-0.029	-0.019	-0.005	-0.002	-0.002							0.0	0.0	0.0	0.0	0.0	0.0
BYdbStLBNk0	200		Education	2						0.0	0.019	-0.008	-0.023	-0.008	-0.018							0.0	0.0	0.0	0.0	0.0	0.0
gtZpmnQd2hM	200		Education	3						6.41	-0.085	-0.009	-0.018	-0.009	-0.009							0.0	0.0	0.0	0.0	0.0	0.0
6ZIJG8F2RxA	200		Education	4						15.66	-0.201	-0.043	-0.096	-0.055	-0.061							0.0	0.0	0.0	0.0	0.0	0.0
p2b6ZikLlVg	0	does not exist	Education	5																							
iQxFiFIEGcY	200	corrected Video_Id	Education	6						3.26	-0.053	0.011	0.025	0.011	0.011							0.0	0.0	0.0	0.0	0.0	0.0
F7U3J9AJS8M	200		Education	7						0.88	-0.067	-0.005	-0.043	-0.015	-0.015							0.0	0.0	0.0	0.0	0.0	0.0
5SLif03E-KE	200		Education	8						0.67	0.014	-0.003	0.004	-0.003	-0.003							0.0	0.0	0.0	0.0	0.0	0.0
eTFy8RnUkoU	200		Education	9						4.24	-0.066	-0.004	-0.007	0.001	0.001							0.0	0.0	0.0	0.0	0.0	0.0
zsjvFFKOm3c	200		Education	10						-9.95	0.1	0.065	0.119	0.077	0.079							0.0	0.0	0.0	0.0	0.0	0.0
bi46iDzFs48	0	wrong video	Entertainment	1																							
pPLzAtFiDDw	200		Entertainment	2						-12.61	0.041	0.013	0.03	0.013	0.047							0.0	0.0	0.0	0.0	0.0	0.0
1oPDwCp26bE	200		Entertainment	3						-15.17	0.173	0.096	0.247	0.15	0.15							0.0	0.0	0.0	0.0	0.0	0.0
Ld2SS2-v3Fk	0	does not exist	Entertainment	4																							
CotW36ApEto	200		Entertainment	5						-1.03	-0.007	-0.01	-0.019	-0.01	-0.01							0.0	0.0	0.0	0.0	0.0	0.0
Yk5TE-7heoc	0	does not exist	Entertainment	6																							
Bypor4e04rg	200		Entertainment	7						80.58	-0.766	-0.873	-0.849	-0.873	-0.873							0.0	0.0	0.0	0.0	0.0	0.0
xy8yKkXriuA	0	does not exist	Entertainment	8																							
_oxso1pWCHY	200	corrected Video_Id	Entertainment	9						11.48	-0.189	-0.04	-0.073	-0.04	-0.04							0.0	0.0	0.0	0.0	0.0	0.0
HutXJzlDuA0	0	does not exist	Entertainment	10																							
ULFUVwPDkxI	200		News	1						2.69	-0.053	-0.006	-0.008	-0.004	-0.03							0.0	0.0	0.0	0.0	0.0	0.0
L7CGonrhG_k	200		News	2						5.84	-0.094	0.001	-0.004	0.001	0.001							0.0	0.0	0.0	0.0	0.0	0.0
GV_c1YlM9EA	200		News	3						1.98	-0.039	-0.011	-0.021	-0.011	-0.011							0.0	0.0	0.0	0.0	0.0	0.0
ZMMRNb2xEkU	0	cc disabled	News	4																							
PvJuocemHS4	200		News	5						4.68	-0.06	-0.013	-0.024	-0.013	-0.013							0.0	0.0	0.0	0.0	0.0	0.0
wGWVKkYEHBE	200		News	6						18.47	-0.347	-0.013	-0.02	-0.013	0.044							0.0	0.0	0.0	0.0	0.0	0.0
bKMJm6rbgL4	200		News	7						-1.26	-0.007	-0.019	-0.02	-0.015	-0.015							0.0	0.0	0.0	0.0	0.0	0.0
MlPD0dxDDQY	200		News	8						1.3	-0.031	-0.018	0.008	-0.005	-0.031							0.0	0.0	0.0	0.0	0.0	0.0
JgSHli3iKxA	200		News	9						-0.84	-0.002	0.012	0.024	0.012	0.012							0.0	0.0	0.0	0.0	0.0	0.0
ewfP4aDKqLc	0	cc disabled	News	10																							
eRxj35raxOs	200		Travel	1						-4.88	0.019	0.059	0.099	0.054	0.054							0.0	0.0	0.0	0.0	0.0	0.0
YwWbuYQhlvM	200		Travel	2						0.54	-0.023	-0.002	-0.018	-0.008	-0.008							0.0	0.0	0.0	0.0	0.0	0.0
c6paDig_s24	200		Travel	3						-9.47	0.058	0.114	0.105	0.104	0.104							0.0	0.0	0.0	0.0	0.0	0.0
