Video_Id	CC_Status	Note	Category	Label	Metadata	youtube_caption	Ground_Truth	Chatgpt_caption	Llama2_caption	wer_gpt	bleu_gpt	rouge1_gpt	rouge2_gpt	rougeL_gpt	rougeLsum_gpt	wer_llama2	bleu_llama2	rouge1_llama2	rouge2_llama2	rougeL_llama2	rougeLsum_llama2	wer_asr	bleu_asr	rouge1_asr	rouge2_asr	rougeL_asr	rougeLsum_asr
9xCwLDC4dTY	1		Cooking	1						-0.65	0.017	-0.006	-0.013	-0.006	-0.006							0.0	0.0	0.0	0.0	0.0	0.0
VpCuw7822EU	1		Cooking	2						-40.22	0.404	0.238	0.382	0.305	0.305							0.0	0.0	0.0	0.0	0.0	0.0
5_tK7VUjcGs	0	cc disabled	Cooking	3						-62.19	0.689	0.41	0.623	0.531	0.531							0.0	0.0	0.0	0.0	0.0	0.0
FSCVgmLjjQI	1		Cooking	4						-98.25	0.963	0.974	0.974	0.974	0.972							0.0	0.0	0.0	0.0	0.0	0.0
2PdxdditT5g	1		Cooking	5						-7.67	0.08	0.016	0.036	0.02	0.02							0.0	0.0	0.0	0.0	0.0	0.0
oHbf24lL9Z8	1		Cooking	6						-59.67	0.672	0.622	0.625	0.642	0.614							0.0	0.0	0.0	0.0	0.0	0.0
I8t7RElYxes	1		Cooking	7						-47.87	0.531	0.232	0.466	0.383	0.383							0.0	0.0	0.0	0.0	0.0	0.0
cct6HqU0Zu4	1		Cooking	8						-9.31	0.11	0.024	0.077	0.04	0.04							0.0	0.0	0.0	0.0	0.0	0.0
cFlSdT2loME	1		Cooking	9						-14.89	0.148	0.076	0.11	0.076	0.076							0.0	0.0	0.0	0.0	0.0	0.0
W9qh7xL84Ns	1		Cooking	10						-3.97	0.046	0.023	0.039	0.023	0.023							0.0	0.0	0.0	0.0	0.0	0.0
BKTY3gIzmFw	1		Education	1						14.29	-0.032	0.002	-0.029	-0.032	-0.032							0.0	0.0	0.0	0.0	0.0	0.0
BYdbStLBNk0	1		Education	2						-61.54	0.638	0.371	0.573	0.484	0.484							0.0	0.0	0.0	0.0	0.0	0.0
gtZpmnQd2hM	1		Education	3						-78.82	0.825	0.592	0.813	0.708	0.708							0.0	0.0	0.0	0.0	0.0	0.0
6ZIJG8F2RxA	1		Education	4						-21.09	0.279	0.075	0.166	0.075	0.075							0.0	0.0	0.0	0.0	0.0	0.0
p2b6ZikLlVg	0	does not exist	Education	5						-1.99	0.063	0.063	0.084	0.041	0.041							0.0	0.0	0.0	0.0	0.0	0.0
iQxFiFIEGcY	1	corrected Video_Id	Education	6						-38.61	0.481	0.219	0.382	0.264	0.264							0.0	0.0	0.0	0.0	0.0	0.0
F7U3J9AJS8M	1		Education	7						-36.29	0.495	0.333	0.514	0.363	0.363							0.0	0.0	0.0	0.0	0.0	0.0
5SLif03E-KE	1		Education	8						-29.05	0.307	0.202	0.377	0.262	0.262							0.0	0.0	0.0	0.0	0.0	0.0
eTFy8RnUkoU	1		Education	9						-83.94	0.917	0.6	0.819	0.705	0.705							0.0	0.0	0.0	0.0	0.0	0.0
zsjvFFKOm3c	1		Education	10						-9.09	0.102	0.032	0.048	0.047	0.043							0.0	0.0	0.0	0.0	0.0	0.0
bi46iDzFs48	0	wrong video	Entertainment	1						-50.5	0.535	0.363	0.597	0.464	0.464							0.0	0.0	0.0	0.0	0.0	0.0
pPLzAtFiDDw	1		Entertainment	2						0.9	0.109	0.039	0.119	0.047	0.086							0.0	0.0	0.0	0.0	0.0	0.0
1oPDwCp26bE	1		Entertainment	3						-13.1	0.113	0.049	0.106	0.077	0.077							0.0	0.0	0.0	0.0	0.0	0.0
Ld2SS2-v3Fk	0	does not exist	Entertainment	4						-11.92	0.124	0.026	0.086	0.059	0.059							0.0	0.0	0.0	0.0	0.0	0.0
CotW36ApEto	1		Entertainment	5						0.0	-0.003	0.005	0.014	0.005	0.005							0.0	0.0	0.0	0.0	0.0	0.0
Yk5TE-7heoc	0	does not exist	Entertainment	6						-1.92	0.018	0.017	0.012	0.017	0.017							0.0	0.0	0.0	0.0	0.0	0.0
Bypor4e04rg	1		Entertainment	7						-3.18	0.033	0.009	0.019	0.012	0.012							0.0	0.0	0.0	0.0	0.0	0.0
