Video_Id	CC_Status	Note	Category	Label	Metadata	youtube_caption	Ground_Truth	Chatgpt_caption	Llama2_caption	wer_gpt	bleu_gpt	rouge1_gpt	rouge2_gpt	rougeL_gpt	rougeLsum_gpt	wer_llama2	bleu_llama2	rouge1_llama2	rouge2_llama2	rougeL_llama2	rougeLsum_llama2	wer_asr	bleu_asr	rouge1_asr	rouge2_asr	rougeL_asr	rougeLsum_asr
9xCwLDC4dTY	1		Cooking	1						0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.002	0.0	0.0	0.0	0.0						
VpCuw7822EU	1		Cooking	2						-1.06	0.012	0.0	0.0	0.0	0.0	-0.94	0.007	0.0	0.0	0.0	0.0						
5_tK7VUjcGs	0	cc disabled	Cooking	3						0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.031	0.0	0.0	0.0	0.0						
FSCVgmLjjQI	1		Cooking	4						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						
2PdxdditT5g	1		Cooking	5						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						
oHbf24lL9Z8	1		Cooking	6						0.0	-0.012	0.0	0.0	0.0	0.0	0.0	-0.051	0.0	0.0	0.0	0.0						
I8t7RElYxes	1		Cooking	7						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						
cct6HqU0Zu4	1		Cooking	8						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						
cFlSdT2loME	1		Cooking	9						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						
W9qh7xL84Ns	1		Cooking	10						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						
BKTY3gIzmFw	1		Education	1						0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.008	0.0	0.0	0.0	0.0						
