Video_Id	CC_Status	Note	Category	Label	Metadata	youtube_caption	Ground_Truth	Chatgpt_caption	Llama2_caption	wer_gpt	bleu_gpt	rouge1_gpt	rouge2_gpt	rougeL_gpt	rougeLsum_gpt	wer_llama2	bleu_llama2	rouge1_llama2	rouge2_llama2	rougeL_llama2	rougeLsum_llama2	wer_asr	bleu_asr	rouge1_asr	rouge2_asr	rougeL_asr	rougeLsum_asr
9xCwLDC4dTY	200		Cooking	1						-2.61	0.03	0.026	0.033	0.026	0.026							0.0	0.0	0.0	0.0	0.0	0.0
VpCuw7822EU	200		Cooking	2						-0.56	0.002	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
5_tK7VUjcGs	0	cc disabled	Cooking	3																							
FSCVgmLjjQI	200		Cooking	4						-0.44	0.009	0.0	0.0	0.0	-0.01							0.0	0.0	0.0	0.0	0.0	0.0
2PdxdditT5g	200		Cooking	5						25.08	-0.425	0.005	0.008	0.005	0.005							0.0	0.0	0.0	0.0	0.0	0.0
oHbf24lL9Z8	200		Cooking	6						-0.5	0.002	0.001	0.002	0.0	0.022							0.0	0.0	0.0	0.0	0.0	0.0
I8t7RElYxes	200		Cooking	7						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
cct6HqU0Zu4	200		Cooking	8						14.58	-0.28	0.004	0.008	0.004	0.004							0.0	0.0	0.0	0.0	0.0	0.0
cFlSdT2loME	200		Cooking	9						0.0	0.0	0.01	0.02	0.01	0.01							0.0	0.0	0.0	0.0	0.0	0.0
W9qh7xL84Ns	200		Cooking	10						2.65	-0.012	0.0	0.013	0.006	0.006							0.0	0.0	0.0	0.0	0.0	0.0
BKTY3gIzmFw	200		Education	1						-8.93	0.152	0.019	0.059	0.019	0.019							0.0	0.0	0.0	0.0	0.0	0.0
BYdbStLBNk0	200		Education	2						-0.55	-0.02	0.003	0.008	0.003	0.014							0.0	0.0	0.0	0.0	0.0	0.0
gtZpmnQd2hM	200		Education	3						0.0	0.002	-0.005	-0.005	-0.005	-0.005							0.0	0.0	0.0	0.0	0.0	0.0
6ZIJG8F2RxA	200		Education	4						-3.01	0.04	0.006	0.041	0.023	0.029							0.0	0.0	0.0	0.0	0.0	0.0
p2b6ZikLlVg	0	does not exist	Education	5																							
iQxFiFIEGcY	200	corrected Video_Id	Education	6						-0.47	0.015	0.0	-0.005	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
F7U3J9AJS8M	200		Education	7						3.54	-0.022	-0.033	-0.006	-0.024	-0.024							0.0	0.0	0.0	0.0	0.0	0.0
5SLif03E-KE	200		Education	8						0.0	-0.013	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
