Video_Id	CC_Status	Note	Category	Label	Metadata	youtube_caption	Ground_Truth	Chatgpt_caption	Llama2_caption	wer_gpt	bleu_gpt	rouge1_gpt	rouge2_gpt	rougeL_gpt	rougeLsum_gpt	wer_llama2	bleu_llama2	rouge1_llama2	rouge2_llama2	rougeL_llama2	rougeLsum_llama2	wer_asr	bleu_asr	rouge1_asr	rouge2_asr	rougeL_asr	rougeLsum_asr
9xCwLDC4dTY	200		Cooking	1						0.66	-0.021	0.019	0.02	0.019	0.019							0.0	0.0	0.0	0.0	0.0	0.0
VpCuw7822EU	200		Cooking	2						2.79	-0.028	-0.005	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
5_tK7VUjcGs	0	cc disabled	Cooking	3																							
FSCVgmLjjQI	200		Cooking	4						-1.75	0.026	-0.004	-0.004	-0.004	-0.014							0.0	0.0	0.0	0.0	0.0	0.0
2PdxdditT5g	200		Cooking	5						1.74	-0.012	-0.011	-0.011	-0.008	-0.008							0.0	0.0	0.0	0.0	0.0	0.0
oHbf24lL9Z8	200		Cooking	6						5.28	-0.059	-0.01	-0.018	-0.016	-0.038							0.0	0.0	0.0	0.0	0.0	0.0
I8t7RElYxes	200		Cooking	7						3.46	-0.044	-0.005	-0.009	-0.002	-0.002							0.0	0.0	0.0	0.0	0.0	0.0
cct6HqU0Zu4	200		Cooking	8						11.34	-0.259	0.016	0.04	0.02	0.02							0.0	0.0	0.0	0.0	0.0	0.0
cFlSdT2loME	200		Cooking	9						2.13	-0.024	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
W9qh7xL84Ns	200		Cooking	10						-3.32	0.018	0.035	0.063	0.048	0.048							0.0	0.0	0.0	0.0	0.0	0.0
BKTY3gIzmFw	200		Education	1						-1.79	0.103	-0.009	-0.027	-0.009	-0.009							0.0	0.0	0.0	0.0	0.0	0.0
BYdbStLBNk0	200		Education	2						-15.38	0.137	0.037	0.034	0.037	0.098							0.0	0.0	0.0	0.0	0.0	0.0
gtZpmnQd2hM	200		Education	3						4.44	-0.064	-0.014	-0.023	-0.014	-0.014							0.0	0.0	0.0	0.0	0.0	0.0
6ZIJG8F2RxA	200		Education	4						11.44	-0.127	-0.012	-0.047	-0.023	-0.023							0.0	0.0	0.0	0.0	0.0	0.0
p2b6ZikLlVg	0	does not exist	Education	5																							
iQxFiFIEGcY	200	corrected Video_Id	Education	6						6.97	-0.162	0.034	0.061	0.034	0.034							0.0	0.0	0.0	0.0	0.0	0.0
F7U3J9AJS8M	200		Education	7						2.66	-0.054	-0.018	-0.058	-0.027	-0.027							0.0	0.0	0.0	0.0	0.0	0.0
5SLif03E-KE	200		Education	8						2.03	-0.012	0.006	0.006	0.006	0.006							0.0	0.0	0.0	0.0	0.0	0.0
eTFy8RnUkoU	200		Education	9						5.16	-0.085	-0.011	-0.023	-0.008	-0.014							0.0	0.0	0.0	0.0	0.0	0.0
zsjvFFKOm3c	200		Education	10						-26.84	0.3	0.144	0.301	0.194	0.201							0.0	0.0	0.0	0.0	0.0	0.0
bi46iDzFs48	0	wrong video	Entertainment	1																							
pPLzAtFiDDw	200		Entertainment	2						-22.52	-0.078	0.009	0.018	0.009	0.137							0.0	0.0	0.0	0.0	0.0	0.0
1oPDwCp26bE	200		Entertainment	3						6.89	-0.124	-0.003	-0.003	-0.003	-0.003							0.0	0.0	0.0	0.0	0.0	0.0
Ld2SS2-v3Fk	0	does not exist	Entertainment	4																							
CotW36ApEto	200		Entertainment	5						8.24	-0.107	-0.014	-0.043	-0.024	-0.024							0.0	0.0	0.0	0.0	0.0	0.0
Yk5TE-7heoc	0	does not exist	Entertainment	6																							
Bypor4e04rg	200		Entertainment	7						66.25	-0.604	-0.853	-0.807	-0.847	-0.847							0.0	0.0	0.0	0.0	0.0	0.0
xy8yKkXriuA	0	does not exist	Entertainment	8																							
_oxso1pWCHY	200	corrected Video_Id	Entertainment	9						16.39	-0.165	-0.031	-0.048	-0.031	-0.031							0.0	0.0	0.0	0.0	0.0	0.0
HutXJzlDuA0	0	does not exist	Entertainment	10																							
ULFUVwPDkxI	200		News	1						2.44	-0.038	-0.009	-0.017	-0.009	-0.009							0.0	0.0	0.0	0.0	0.0	0.0
L7CGonrhG_k	200		News	2						-2.6	0.085	0.022	0.042	0.022	0.022							0.0	0.0	0.0	0.0	0.0	0.0
GV_c1YlM9EA	200		News	3						1.19	-0.029	-0.007	-0.012	-0.007	-0.007							0.0	0.0	0.0	0.0	0.0	0.0
ZMMRNb2xEkU	0	cc disabled	News	4																							
PvJuocemHS4	200		News	5						3.34	-0.047	-0.011	-0.019	-0.011	-0.026							0.0	0.0	0.0	0.0	0.0	0.0
wGWVKkYEHBE	200		News	6						11.08	-0.183	0.028	0.082	0.028	0.092							0.0	0.0	0.0	0.0	0.0	0.0
bKMJm6rbgL4	200		News	7						-0.42	-0.01	-0.028	-0.037	-0.024	-0.024							0.0	0.0	0.0	0.0	0.0	0.0
MlPD0dxDDQY	200		News	8						3.47	-0.054	-0.014	-0.009	-0.01	-0.01							0.0	0.0	0.0	0.0	0.0	0.0
JgSHli3iKxA	200		News	9						0.84	-0.006	0.006	0.01	0.006	0.006							0.0	0.0	0.0	0.0	0.0	0.0
ewfP4aDKqLc	0	cc disabled	News	10																							
eRxj35raxOs	200		Travel	1						-4.27	0.005	0.027	0.054	0.021	0.021							0.0	0.0	0.0	0.0	0.0	0.0
YwWbuYQhlvM	200		Travel	2						-4.35	0.051	0.009	0.015	0.014	0.014							0.0	0.0	0.0	0.0	0.0	0.0
c6paDig_s24	200		Travel	3						1.05	-0.044	0.044	0.023	0.034	0.034							0.0	0.0	0.0	0.0	0.0	0.0
34LqdqM6Kg4	200		Travel	4						7.69	-0.227	0.012	0.052	0.032	0.032							0.0	0.0	0.0	0.0	0.0	0.0
gBspmhvWgwA	200		Travel	5						1.96	-0.035	0.006	0.013	0.006	0.006							0.0	0.0	0.0	0.0	0.0	0.0
HnYN7OQe854	200		Travel	6						-2.6	0.017	0.017	0.028	0.017	0.037							0.0	0.0	0.0	0.0	0.0	0.0
qpyMZYSKSCU	200		Travel	7						-2.8	0.053	0.042	0.058	0.061	0.061							0.0	0.0	0.0	0.0	0.0	0.0
1gfm91bu6FE	200		Travel	8						-2.88	0.035	0.025	0.032	0.025	0.025							0.0	0.0	0.0	0.0	0.0	0.0
CEx2oOtCFSU	200		Travel	9						-0.51	0.011	0.005	0.01	0.005	0.005							0.0	0.0	0.0	0.0	0.0	0.0
hKy5Ec-HN3M	200		Travel	10						2.58	-0.02	-0.01	-0.029	-0.016	-0.016							0.0	0.0	0.0	0.0	0.0	0.0
I6h-EmnqOps	404		Travel	11																							
aYRpJoKUBdQ	200		Travel	12						2.09	-0.049	0.012	0.027	0.012	0.012							0.0	0.0	0.0	0.0	0.0	0.0
