Video_Id	CC_Status	Note	Category	Label	Metadata	youtube_caption	Ground_Truth	Chatgpt_caption	Llama2_caption	wer_gpt	bleu_gpt	rouge1_gpt	rouge2_gpt	rougeL_gpt	rougeLsum_gpt	wer_llama2	bleu_llama2	rouge1_llama2	rouge2_llama2	rougeL_llama2	rougeLsum_llama2	wer_asr	bleu_asr	rouge1_asr	rouge2_asr	rougeL_asr	rougeLsum_asr
9xCwLDC4dTY	1		Cooking	1						0.0	0.013	-0.006	-0.013	-0.006	-0.006							0.0	0.0	0.0	0.0	0.0	0.0
VpCuw7822EU	1		Cooking	2						0.56	-0.015	-0.011	-0.021	-0.011	-0.011							0.0	0.0	0.0	0.0	0.0	0.0
5_tK7VUjcGs	0	cc disabled	Cooking	3						2.44	-0.026	0.006	0.017	0.006	0.006							0.0	0.0	0.0	0.0	0.0	0.0
FSCVgmLjjQI	1		Cooking	4						0.87	-0.019	0.0	-0.002	0.0	-0.002							0.0	0.0	0.0	0.0	0.0	0.0
2PdxdditT5g	1		Cooking	5						11.49	-0.163	-0.016	-0.036	-0.016	-0.016							0.0	0.0	0.0	0.0	0.0	0.0
oHbf24lL9Z8	1		Cooking	6						3.02	-0.028	0.047	-0.011	0.028	0.0							0.0	0.0	0.0	0.0	0.0	0.0
I8t7RElYxes	1		Cooking	7						8.77	-0.109	-0.021	-0.05	-0.021	-0.021							0.0	0.0	0.0	0.0	0.0	0.0
cct6HqU0Zu4	1		Cooking	8						10.53	-0.141	-0.034	-0.069	-0.041	-0.041							0.0	0.0	0.0	0.0	0.0	0.0
cFlSdT2loME	1		Cooking	9						1.07	-0.024	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
W9qh7xL84Ns	1		Cooking	10						16.56	-0.258	-0.086	-0.15	-0.098	-0.098							0.0	0.0	0.0	0.0	0.0	0.0
BKTY3gIzmFw	1		Education	1						14.29	-0.086	0.001	-0.032	-0.016	-0.016							0.0	0.0	0.0	0.0	0.0	0.0
BYdbStLBNk0	1		Education	2						9.34	-0.155	-0.03	-0.057	-0.03	-0.03							0.0	0.0	0.0	0.0	0.0	0.0
gtZpmnQd2hM	1		Education	3						6.4	-0.077	-0.007	-0.011	-0.007	-0.007							0.0	0.0	0.0	0.0	0.0	0.0
6ZIJG8F2RxA	1		Education	4						3.61	-0.04	-0.003	-0.009	-0.003	-0.003							0.0	0.0	0.0	0.0	0.0	0.0
p2b6ZikLlVg	0	does not exist	Education	5						40.4	-0.381	-0.223	-0.337	-0.292	-0.292							0.0	0.0	0.0	0.0	0.0	0.0
iQxFiFIEGcY	1	corrected Video_Id	Education	6						3.25	-0.04	-0.014	-0.027	-0.014	-0.014							0.0	0.0	0.0	0.0	0.0	0.0
F7U3J9AJS8M	1		Education	7						5.31	-0.07	-0.003	-0.02	-0.003	-0.003							0.0	0.0	0.0	0.0	0.0	0.0
5SLif03E-KE	1		Education	8						17.57	-0.216	-0.038	-0.072	-0.038	-0.038							0.0	0.0	0.0	0.0	0.0	0.0
eTFy8RnUkoU	1		Education	9						2.43	-0.039	-0.009	-0.017	-0.009	-0.009							0.0	0.0	0.0	0.0	0.0	0.0
zsjvFFKOm3c	1		Education	10						19.48	-0.27	-0.104	-0.199	-0.12	-0.124							0.0	0.0	0.0	0.0	0.0	0.0
bi46iDzFs48	0	wrong video	Entertainment	1						6.06	-0.098	-0.014	-0.048	-0.014	-0.014							0.0	0.0	0.0	0.0	0.0	0.0
pPLzAtFiDDw	1		Entertainment	2						27.93	-0.199	-0.013	-0.03	-0.013	-0.055							0.0	0.0	0.0	0.0	0.0	0.0
1oPDwCp26bE	1		Entertainment	3						41.38	-0.507	-0.178	-0.378	-0.255	-0.255							0.0	0.0	0.0	0.0	0.0	0.0
Ld2SS2-v3Fk	0	does not exist	Entertainment	4						6.62	-0.084	-0.013	-0.025	-0.013	-0.013							0.0	0.0	0.0	0.0	0.0	0.0
CotW36ApEto	1		Entertainment	5						7.22	-0.106	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
Yk5TE-7heoc	0	does not exist	Entertainment	6						7.05	-0.11	-0.019	-0.045	-0.019	-0.019							0.0	0.0	0.0	0.0	0.0	0.0
Bypor4e04rg	1		Entertainment	7						12.74	-0.198	-0.043	-0.076	-0.043	-0.043							0.0	0.0	0.0	0.0	0.0	0.0
xy8yKkXriuA	0	does not exist	Entertainment	8						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
_oxso1pWCHY	1	corrected Video_Id	Entertainment	9						6.56	-0.056	-0.016	-0.032	-0.016	-0.016							0.0	0.0	0.0	0.0	0.0	0.0
HutXJzlDuA0	0	does not exist	Entertainment	10						8.33	-0.15	0.01	0.01	0.01	0.01							0.0	0.0	0.0	0.0	0.0	0.0
ULFUVwPDkxI	1		News	1						2.69	-0.041	-0.01	-0.019	-0.012	-0.012							0.0	0.0	0.0	0.0	0.0	0.0
L7CGonrhG_k	1		News	2						8.44	-0.175	-0.038	-0.077	-0.038	-0.038							0.0	0.0	0.0	0.0	0.0	0.0
GV_c1YlM9EA	1		News	3						4.17	-0.074	-0.021	-0.037	-0.021	-0.021							0.0	0.0	0.0	0.0	0.0	0.0
ZMMRNb2xEkU	0	cc disabled	News	4						19.12	-0.287	-0.029	-0.101	-0.043	-0.043							0.0	0.0	0.0	0.0	0.0	0.0
PvJuocemHS4	1		News	5						8.02	-0.118	-0.006	-0.017	-0.009	-0.009							0.0	0.0	0.0	0.0	0.0	0.0
wGWVKkYEHBE	1		News	6						5.54	-0.089	-0.013	-0.023	-0.013	-0.013							0.0	0.0	0.0	0.0	0.0	0.0
bKMJm6rbgL4	1		News	7						12.14	-0.166	-0.037	-0.074	-0.041	-0.041							0.0	0.0	0.0	0.0	0.0	0.0
MlPD0dxDDQY	1		News	8						9.96	-0.149	-0.051	-0.116	-0.06	-0.06							0.0	0.0	0.0	0.0	0.0	0.0
JgSHli3iKxA	1		News	9						5.07	-0.074	-0.012	-0.02	-0.012	-0.012							0.0	0.0	0.0	0.0	0.0	0.0
ewfP4aDKqLc	0	cc disabled	News	10						24.61	-0.365	-0.13	-0.235	-0.147	-0.147							0.0	0.0	0.0	0.0	0.0	0.0
eRxj35raxOs	1		Travel	1						-1.22	-0.033	0.015	0.016	0.038	0.038							0.0	0.0	0.0	0.0	0.0	0.0
YwWbuYQhlvM	1		Travel	2						5.98	-0.082	-0.014	-0.041	-0.019	-0.03							0.0	0.0	0.0	0.0	0.0	0.0
c6paDig_s24	1		Travel	3						12.63	-0.12	-0.091	-0.094	-0.081	-0.081							0.0	0.0	0.0	0.0	0.0	0.0
34LqdqM6Kg4	1		Travel	4						9.62	-0.151	-0.085	-0.127	-0.085	-0.085							0.0	0.0	0.0	0.0	0.0	0.0
gBspmhvWgwA	1		Travel	5						0.66	-0.015	-0.006	-0.012	-0.006	-0.006							0.0	0.0	0.0	0.0	0.0	0.0
HnYN7OQe854	1		Travel	6						2.6	-0.019	-0.012	-0.012	-0.012	-0.012							0.0	0.0	0.0	0.0	0.0	0.0
qpyMZYSKSCU	1		Travel	7						10.53	-0.121	-0.031	-0.061	-0.045	-0.045							0.0	0.0	0.0	0.0	0.0	0.0
1gfm91bu6FE	1		Travel	8						3.59	-0.049	-0.003	-0.011	-0.003	-0.003							0.0	0.0	0.0	0.0	0.0	0.0
CEx2oOtCFSU	1		Travel	9						3.03	-0.039	-0.007	-0.017	-0.007	-0.007							0.0	0.0	0.0	0.0	0.0	0.0
