Video_Id	CC_Status	Note	Category	Label	Metadata	youtube_caption	Ground_Truth	Chatgpt_caption	Llama2_caption	wer_gpt	bleu_gpt	rouge1_gpt	rouge2_gpt	rougeL_gpt	rougeLsum_gpt	wer_llama2	bleu_llama2	rouge1_llama2	rouge2_llama2	rougeL_llama2	rougeLsum_llama2	wer_asr	bleu_asr	rouge1_asr	rouge2_asr	rougeL_asr	rougeLsum_asr
9xCwLDC4dTY	200		Cooking	1						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
VpCuw7822EU	200		Cooking	2						19.55	-0.327	0.003	0.008	0.003	0.003							0.0	0.0	0.0	0.0	0.0	0.0
5_tK7VUjcGs	0	cc disabled	Cooking	3																							
FSCVgmLjjQI	200		Cooking	4						-0.22	0.004	0.0	0.0	0.0	0.002							0.0	0.0	0.0	0.0	0.0	0.0
2PdxdditT5g	200		Cooking	5						24.39	-0.432	0.013	0.023	0.013	0.013							0.0	0.0	0.0	0.0	0.0	0.0
oHbf24lL9Z8	200		Cooking	6						-0.75	0.011	-0.002	0.002	0.0	0.023							0.0	0.0	0.0	0.0	0.0	0.0
I8t7RElYxes	200		Cooking	7						12.76	-0.225	0.004	0.006	0.004	0.004							0.0	0.0	0.0	0.0	0.0	0.0
cct6HqU0Zu4	200		Cooking	8						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
cFlSdT2loME	200		Cooking	9						1.07	-0.024	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
W9qh7xL84Ns	200		Cooking	10						-0.66	0.021	0.0	-0.006	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
BKTY3gIzmFw	200		Education	1						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
BYdbStLBNk0	200		Education	2						-1.1	0.009	0.003	0.008	0.003	0.003							0.0	0.0	0.0	0.0	0.0	0.0
gtZpmnQd2hM	200		Education	3						0.0	0.007	0.002	0.007	0.002	0.002							0.0	0.0	0.0	0.0	0.0	0.0
6ZIJG8F2RxA	200		Education	4						-3.01	0.041	-0.012	0.017	0.006	0.006							0.0	0.0	0.0	0.0	0.0	0.0
p2b6ZikLlVg	0	does not exist	Education	5																							
iQxFiFIEGcY	200	corrected Video_Id	Education	6						-6.51	0.154	-0.005	-0.014	-0.005	-0.005							0.0	0.0	0.0	0.0	0.0	0.0
F7U3J9AJS8M	200		Education	7						-0.89	0.003	-0.021	0.009	-0.011	-0.011							0.0	0.0	0.0	0.0	0.0	0.0
5SLif03E-KE	200		Education	8						0.0	-0.007	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
eTFy8RnUkoU	200		Education	9						0.0	0.018	0.008	0.017	0.008	0.008							0.0	0.0	0.0	0.0	0.0	0.0
zsjvFFKOm3c	200		Education	10						0.22	0.0	0.002	0.004	0.002	0.002							0.0	0.0	0.0	0.0	0.0	0.0
bi46iDzFs48	0	wrong video	Entertainment	1																							
pPLzAtFiDDw	200		Entertainment	2						2.7	0.005	-0.004	-0.005	-0.004	-0.004							0.0	0.0	0.0	0.0	0.0	0.0
1oPDwCp26bE	200		Entertainment	3						-2.07	0.028	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
Ld2SS2-v3Fk	0	does not exist	Entertainment	4																							
CotW36ApEto	200		Entertainment	5						-4.12	0.036	0.005	0.005	0.005	0.005							0.0	0.0	0.0	0.0	0.0	0.0
Yk5TE-7heoc	0	does not exist	Entertainment	6																							
Bypor4e04rg	200		Entertainment	7						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
xy8yKkXriuA	0	does not exist	Entertainment	8																							
_oxso1pWCHY	200	corrected Video_Id	Entertainment	9						6.56	-0.092	-0.041	-0.07	-0.056	-0.056							0.0	0.0	0.0	0.0	0.0	0.0
HutXJzlDuA0	0	does not exist	Entertainment	10																							
ULFUVwPDkxI	200		News	1						-1.95	0.031	0.002	0.005	0.002	-0.024							0.0	0.0	0.0	0.0	0.0	0.0
L7CGonrhG_k	200		News	2						9.1	-0.133	-0.003	-0.003	-0.003	-0.003							0.0	0.0	0.0	0.0	0.0	0.0
GV_c1YlM9EA	200		News	3						-1.19	0.027	0.006	0.008	0.006	0.006							0.0	0.0	0.0	0.0	0.0	0.0
ZMMRNb2xEkU	0	cc disabled	News	4																							
PvJuocemHS4	200		News	5						1.34	-0.017	0.0	0.0	0.0	0.015							0.0	0.0	0.0	0.0	0.0	0.0
wGWVKkYEHBE	200		News	6						1.32	-0.014	-0.006	-0.014	-0.006	-0.006							0.0	0.0	0.0	0.0	0.0	0.0
bKMJm6rbgL4	200		News	7						0.83	-0.027	0.002	0.006	0.002	0.002							0.0	0.0	0.0	0.0	0.0	0.0
MlPD0dxDDQY	200		News	8						0.0	-0.003	0.004	-0.005	0.0	-0.026							0.0	0.0	0.0	0.0	0.0	0.0
JgSHli3iKxA	200		News	9						0.42	-0.02	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
ewfP4aDKqLc	0	cc disabled	News	10																							
eRxj35raxOs	200		Travel	1						-1.83	0.032	0.026	0.044	0.026	0.026							0.0	0.0	0.0	0.0	0.0	0.0
YwWbuYQhlvM	200		Travel	2						-1.09	0.009	0.006	0.011	0.006	0.006							0.0	0.0	0.0	0.0	0.0	0.0
c6paDig_s24	200		Travel	3						-5.26	0.086	0.01	0.021	0.01	0.01							0.0	0.0	0.0	0.0	0.0	0.0
34LqdqM6Kg4	200		Travel	4						-1.92	0.016	0.004	0.004	0.004	0.004							0.0	0.0	0.0	0.0	0.0	0.0
gBspmhvWgwA	200		Travel	5						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
HnYN7OQe854	200		Travel	6						0.0	-0.004	0.005	0.01	0.005	0.005							0.0	0.0	0.0	0.0	0.0	0.0
qpyMZYSKSCU	200		Travel	7						-0.36	-0.023	-0.006	-0.014	-0.01	-0.01							0.0	0.0	0.0	0.0	0.0	0.0
1gfm91bu6FE	200		Travel	8						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
CEx2oOtCFSU	200		Travel	9						0.51	-0.007	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
hKy5Ec-HN3M	200		Travel	10						1.29	-0.021	-0.013	-0.019	-0.013	-0.013							0.0	0.0	0.0	0.0	0.0	0.0
I6h-EmnqOps	404		Travel	11																							
aYRpJoKUBdQ	200		Travel	12						1.05	-0.021	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
