Link	Label	Category	Source	Video_Id	CC_Status	Note
https://youtube.com/shorts/9xCwLDC4dTY?si=VmOh17OhzYI61JBz	1	Cooking	youtube	9xCwLDC4dTY	1	
https://youtube.com/shorts/VpCuw7822EU?si=wbSPW5K2OoZJfbcw	2	Cooking	youtube	VpCuw7822EU	1	
https://youtube.com/shorts/5_tK7VUjcGs?si=4t1w5QbT6_1zonZC	3	Cooking	youtube	5_tK7VUjcGs	0	cc disabled
https://youtu.be/FSCVgmLjjQI?si=V2I558gOB65r3Roj	4	Cooking	youtube	FSCVgmLjjQI	1	
https://youtu.be/2PdxdditT5g?si=4U_tST7wMVPVXWtD	5	Cooking	youtube	2PdxdditT5g	1	
https://youtu.be/oHbf24lL9Z8?si=Mmelw7inhncJauJY	6	Cooking	youtube	oHbf24lL9Z8	1	
https://youtu.be/I8t7RElYxes?si=0jv-hA0Ps-2v-Qgw	7	Cooking	youtube	I8t7RElYxes	1	
https://youtube.com/shorts/cct6HqU0Zu4?si=WrpQSp_wFTMM3vSa	8	Cooking	youtube	cct6HqU0Zu4	1	
https://youtube.com/shorts/cFlSdT2loME?si=O3zzs3bulRn2jQaW	9	Cooking	youtube	cFlSdT2loME	1	
https://youtube.com/shorts/W9qh7xL84Ns?si=awO2oaCehVhUa07b	10	Cooking	youtube	W9qh7xL84Ns	1	
https://youtube.com/shorts/BKTY3gIzmFw?si=dMbGOg-mR_6bIOII	1	Education	youtube	BKTY3gIzmFw	1	
https://youtube.com/shorts/BYdbStLBNk0?si=078tphu7fuXdZ43K	2	Education	youtube	BYdbStLBNk0	1	
https://youtube.com/shorts/gtZpmnQd2hM?si=DtXoqKZzuM3CxqAx	3	Education	youtube	gtZpmnQd2hM	1	
https://youtu.be/6ZIJG8F2RxA?si=wZsUFqB6zwpEh-Wn	4	Education	youtube	6ZIJG8F2RxA	1	
https://youtube.com/shorts/p2b6ZikLlVg?si=bM8uS07ARukWaskl	5	Education	youtube	p2b6ZikLlVg	0	does not exist
https://youtube.com/shorts/iQxFiFIEGcY?si=4hdpMP9xP8K-UJaz	6	Education	youtube	iQxFiFIEGcY	1	corrected Video_Id
https://youtube.com/shorts/F7U3J9AJS8M?si=k39UUpi2WWql2lER	7	Education	youtube	F7U3J9AJS8M	1	
https://youtube.com/shorts/5SLif03E-KE?si=rVqg90DTsHb7pumE	8	Education	youtube	5SLif03E-KE	1	
https://youtu.be/eTFy8RnUkoU?si=sxGvIn1sVpeSLI83	9	Education	youtube	eTFy8RnUkoU	1	
https://youtu.be/zsjvFFKOm3c?si=aNASVk9aqxdBvUme	10	Education	youtube	zsjvFFKOm3c	1	
https://youtu.be/ULFUVwPDkxI?si=pNKKVZqdRL8kUW-s	1	News	youtube	ULFUVwPDkxI	1	
https://youtu.be/L7CGonrhG_k?si=Ezmm6cAJFsaWca6V	2	News	youtube	L7CGonrhG_k	1	
https://youtu.be/GV_c1YlM9EA?si=ZVKHFkFQKQZB4m8F	3	News	youtube	GV_c1YlM9EA	1	
https://youtube.com/shorts/ZMMRNb2xEkU?si=Q0l9qG7YY5sfl891	4	News	youtube	ZMMRNb2xEkU	0	cc disabled
https://youtu.be/PvJuocemHS4?si=Aoi8uGizb-tz_nnc	5	News	youtube	PvJuocemHS4	1	
https://youtu.be/wGWVKkYEHBE?si=A72X5-hwEoVuJRhX	6	News	youtube	wGWVKkYEHBE	1	
https://youtu.be/bKMJm6rbgL4?si=Uxhp5jfvhk83-neH	7	News	youtube	bKMJm6rbgL4	1	
https://youtu.be/MlPD0dxDDQY?si=GBPDzy0BL7JtU43s	8	News	youtube	MlPD0dxDDQY	1	
https://youtu.be/JgSHli3iKxA?si=66jnNByuQF78IH_t	9	News	youtube	JgSHli3iKxA	1	
https://youtube.com/shorts/ewfP4aDKqLc?si=KaT7IBzd9edcMOmf	10	News	youtube	ewfP4aDKqLc	0	cc disabled
https://youtu.be/bi46iDzFs48?si=Y5n4_tqD-wYHA0FX	1	Entertainment	youtube	bi46iDzFs48	0	wrong video
https://youtube.com/shorts/pPLzAtFiDDw?si=GxEuKWeINPK-8WQJ	2	Entertainment	youtube	pPLzAtFiDDw	1	
https://www.youtube.com/shorts/1oPDwCp26bE	3	Entertainment	youtube	1oPDwCp26bE	1	
